Name,Age,Overall,Club,Position,Crossing,ShortPassing,Dribbling,LongPassing,BallControl,Acceleration,SprintSpeed,ShotPower,Stamina,Strength,LongShots,Interceptions,Positioning,Penalties,StandingTackle,SlidingTackle,Best Overall Rating,DefensiveAwareness
A. Vidal,34,81,Inter,SUB,76.0,81.0,76.0,79.0,83.0,66.0,65.0,84.0,78.0,80.0,81.0,82.0,78.0,81.0,84.0,83.0,82.0,80.0
P. Pogba,28,87,Manchester United,RDM,77.0,88.0,88.0,92.0,90.0,63.0,77.0,90.0,77.0,89.0,84.0,65.0,80.0,81.0,67.0,63.0,87.0,59.0
Casemiro,29,89,Real Madrid CF,CDM,58.0,84.0,69.0,84.0,79.0,60.0,69.0,88.0,89.0,90.0,81.0,87.0,75.0,66.0,88.0,87.0,89.0,85.0
L. Messi,34,93,Paris Saint-Germain,RW,85.0,91.0,96.0,91.0,96.0,91.0,80.0,86.0,72.0,69.0,94.0,40.0,93.0,75.0,35.0,24.0,93.0,20.0
Renato Sanches,23,80,LOSC Lille,LCM,72.0,81.0,84.0,79.0,83.0,86.0,83.0,89.0,87.0,83.0,78.0,75.0,74.0,68.0,74.0,65.0,83.0,73.0
L. Ocampos,26,83,Sevilla FC,LW,79.0,80.0,85.0,72.0,84.0,80.0,82.0,84.0,91.0,81.0,80.0,72.0,84.0,79.0,61.0,55.0,83.0,58.0
Jordi Alba,32,86,FC Barcelona,LB,85.0,85.0,81.0,79.0,85.0,87.0,86.0,64.0,87.0,61.0,66.0,81.0,83.0,59.0,78.0,80.0,86.0,74.0
R. Lewandowski,32,92,FC Bayern München,ST,71.0,85.0,85.0,70.0,88.0,77.0,79.0,90.0,76.0,86.0,87.0,49.0,95.0,90.0,42.0,19.0,92.0,35.0
M. Salah,29,89,Liverpool,RW,79.0,84.0,90.0,75.0,89.0,89.0,91.0,82.0,85.0,75.0,84.0,55.0,91.0,86.0,43.0,41.0,89.0,38.0
Angeliño,24,83,RB Leipzig,LB,88.0,81.0,84.0,81.0,84.0,85.0,73.0,80.0,85.0,60.0,69.0,80.0,79.0,55.0,74.0,80.0,84.0,77.0
Cristiano Ronaldo,36,91,Manchester United,ST,87.0,80.0,88.0,77.0,88.0,85.0,88.0,94.0,77.0,77.0,93.0,29.0,95.0,88.0,32.0,24.0,91.0,24.0
12 Roberto Carlos,38,79,FC Anzhi Makhachkala,SUB,80.0,78.0,74.0,82.0,82.0,77.0,78.0,91.0,60.0,84.0,85.0,82.0,60.0,79.0,75.0,84.0,79.0,
Canales,30,83,Real Betis Balompié,LM,81.0,84.0,82.0,87.0,83.0,85.0,82.0,78.0,80.0,71.0,84.0,77.0,85.0,80.0,71.0,58.0,84.0,64.0
H. Kane,27,90,Tottenham Hotspur,ST,80.0,85.0,83.0,86.0,85.0,65.0,74.0,91.0,83.0,85.0,86.0,44.0,94.0,91.0,36.0,38.0,90.0,50.0
19 Dani Alves,35,82,Paris Saint-Germain,RB,85.0,83.0,84.0,81.0,86.0,75.0,77.0,86.0,74.0,55.0,78.0,79.0,78.0,70.0,78.0,80.0,81.0,
M. Brozović,28,84,Inter,CDM,72.0,85.0,76.0,84.0,84.0,70.0,68.0,80.0,94.0,67.0,84.0,81.0,70.0,69.0,81.0,80.0,84.0,77.0
M. Verratti,28,87,Paris Saint-Germain,CM,82.0,90.0,91.0,89.0,92.0,68.0,60.0,60.0,76.0,54.0,58.0,85.0,78.0,64.0,82.0,84.0,87.0,78.0
Saúl,26,82,Chelsea,SUB,69.0,84.0,80.0,82.0,82.0,69.0,72.0,82.0,86.0,77.0,80.0,79.0,80.0,68.0,78.0,77.0,84.0,77.0
Thiago,30,86,Liverpool,LCM,78.0,90.0,90.0,89.0,92.0,72.0,55.0,75.0,74.0,59.0,73.0,82.0,75.0,75.0,71.0,68.0,86.0,67.0
J. Veretout,28,82,Roma,LDM,69.0,85.0,76.0,80.0,82.0,84.0,72.0,83.0,85.0,79.0,80.0,77.0,69.0,85.0,81.0,77.0,82.0,79.0
J. Henderson,31,84,Liverpool,RCM,82.0,85.0,78.0,87.0,83.0,67.0,66.0,77.0,86.0,78.0,75.0,81.0,78.0,64.0,81.0,76.0,84.0,79.0
I. Gündoğan,30,85,Manchester City,LCM,78.0,88.0,86.0,85.0,89.0,66.0,65.0,79.0,74.0,73.0,81.0,78.0,82.0,80.0,75.0,67.0,85.0,76.0
R. Nainggolan,33,80,Royal Antwerp FC,LCM,73.0,82.0,70.0,79.0,79.0,70.0,71.0,93.0,69.0,84.0,90.0,68.0,81.0,63.0,83.0,79.0,80.0,69.0
T. Delaney,29,81,Sevilla FC,SUB,68.0,76.0,73.0,80.0,75.0,77.0,74.0,78.0,87.0,77.0,74.0,84.0,75.0,60.0,81.0,84.0,82.0,85.0
Lucas Paquetá,23,81,Olympique Lyonnais,CAM,74.0,82.0,86.0,79.0,84.0,73.0,76.0,77.0,84.0,75.0,74.0,73.0,81.0,75.0,73.0,63.0,83.0,69.0
F. Kessié,24,84,AC Milan,LDM,66.0,83.0,78.0,75.0,84.0,76.0,79.0,84.0,94.0,86.0,78.0,84.0,74.0,89.0,84.0,78.0,85.0,85.0
R. Malinovskyi,28,81,Atalanta,RF,79.0,85.0,83.0,81.0,85.0,73.0,74.0,90.0,81.0,79.0,87.0,66.0,77.0,83.0,72.0,50.0,81.0,55.0
K. Walker,31,85,Manchester City,RB,77.0,79.0,79.0,77.0,81.0,89.0,94.0,86.0,86.0,80.0,69.0,80.0,68.0,63.0,84.0,83.0,85.0,77.0
R. Gosens,26,83,Atalanta,LM,82.0,80.0,80.0,77.0,82.0,79.0,84.0,76.0,89.0,76.0,68.0,77.0,86.0,50.0,78.0,79.0,83.0,75.0
S. Mané,29,89,Liverpool,LW,78.0,84.0,90.0,71.0,88.0,93.0,90.0,83.0,85.0,72.0,80.0,35.0,90.0,71.0,42.0,38.0,89.0,42.0
L. Pellegrini,25,81,Roma,CAM,74.0,86.0,78.0,82.0,83.0,77.0,79.0,76.0,88.0,74.0,74.0,70.0,78.0,80.0,74.0,72.0,83.0,70.0
D. Wass,32,80,Valencia CF,RCM,79.0,80.0,77.0,81.0,80.0,73.0,75.0,85.0,87.0,73.0,80.0,79.0,76.0,61.0,76.0,75.0,80.0,76.0
A. Hakimi,22,85,Paris Saint-Germain,RB,86.0,81.0,84.0,73.0,83.0,95.0,95.0,77.0,91.0,73.0,70.0,78.0,78.0,46.0,78.0,76.0,85.0,75.0
Y. Tielemans,24,84,Leicester City,RDM,82.0,89.0,79.0,88.0,85.0,67.0,59.0,87.0,81.0,69.0,86.0,74.0,80.0,73.0,73.0,69.0,86.0,70.0
Ricardo Pereira,27,84,Leicester City,RB,82.0,82.0,81.0,77.0,83.0,82.0,83.0,74.0,84.0,69.0,64.0,79.0,77.0,61.0,84.0,83.0,84.0,80.0
T. Hernández,23,84,AC Milan,LB,84.0,78.0,83.0,68.0,79.0,92.0,94.0,80.0,90.0,79.0,72.0,78.0,80.0,50.0,79.0,80.0,85.0,74.0
Grimaldo,25,82,SL Benfica,LWB,82.0,83.0,83.0,79.0,83.0,86.0,87.0,79.0,90.0,63.0,79.0,79.0,77.0,54.0,76.0,74.0,84.0,71.0
21 Renato Augusto,32,83,Beijing Guoan FC,LCM,75.0,85.0,82.0,83.0,81.0,73.0,70.0,81.0,85.0,80.0,81.0,72.0,74.0,78.0,73.0,64.0,83.0,75.0
Neymar Jr,29,91,Paris Saint-Germain,LW,85.0,86.0,95.0,81.0,95.0,93.0,89.0,80.0,81.0,53.0,81.0,37.0,86.0,93.0,32.0,29.0,91.0,35.0
K. Trippier,30,84,Atlético de Madrid,SUB,86.0,81.0,74.0,80.0,82.0,74.0,73.0,75.0,87.0,64.0,70.0,80.0,76.0,66.0,81.0,80.0,84.0,79.0
N. De la Cruz,24,78,River Plate,RAM,72.0,79.0,81.0,72.0,78.0,86.0,83.0,80.0,93.0,44.0,75.0,71.0,79.0,69.0,74.0,64.0,81.0,64.0
12 M. Ballack,34,80,Bayer 04 Leverkusen,SUB,73.0,83.0,71.0,81.0,82.0,64.0,60.0,88.0,68.0,83.0,86.0,78.0,77.0,91.0,75.0,73.0,79.0,
Roberto Firmino,29,85,Liverpool,CF,73.0,84.0,89.0,76.0,90.0,77.0,77.0,79.0,87.0,74.0,76.0,58.0,82.0,72.0,64.0,42.0,85.0,55.0
19 C. Marchisio,31,84,Juventus,RES,76.0,85.0,84.0,81.0,85.0,75.0,77.0,82.0,77.0,73.0,78.0,78.0,78.0,78.0,78.0,78.0,81.0,
R. De Paul,27,82,Atlético de Madrid,SUB,69.0,85.0,81.0,81.0,85.0,81.0,76.0,80.0,86.0,81.0,78.0,74.0,78.0,65.0,79.0,69.0,83.0,68.0
N. Kanté,30,90,Chelsea,RCM,68.0,82.0,79.0,79.0,81.0,82.0,75.0,71.0,97.0,72.0,65.0,91.0,72.0,54.0,93.0,86.0,90.0,90.0
A. Florenzi,30,81,AC Milan,SUB,77.0,83.0,75.0,77.0,85.0,79.0,74.0,82.0,82.0,50.0,81.0,77.0,69.0,74.0,76.0,75.0,81.0,76.0
Yuri Berchiche,31,82,Athletic Club de Bilbao,SUB,83.0,80.0,72.0,72.0,79.0,81.0,84.0,82.0,85.0,79.0,76.0,82.0,62.0,59.0,80.0,76.0,82.0,80.0
G. Bale,31,82,Real Madrid CF,SUB,86.0,80.0,80.0,79.0,83.0,80.0,83.0,90.0,61.0,76.0,87.0,53.0,82.0,76.0,53.0,50.0,82.0,50.0
Portu,29,82,Real Sociedad,SUB,78.0,77.0,78.0,76.0,80.0,89.0,90.0,82.0,88.0,74.0,74.0,55.0,83.0,53.0,61.0,59.0,82.0,55.0
A. Di María,33,87,Paris Saint-Germain,SUB,88.0,84.0,88.0,82.0,87.0,83.0,83.0,83.0,78.0,62.0,86.0,42.0,84.0,73.0,55.0,52.0,87.0,41.0
21 I. Fernández,30,81,River Plate,RCM,77.0,82.0,81.0,77.0,83.0,75.0,77.0,77.0,85.0,70.0,80.0,70.0,82.0,73.0,73.0,67.0,81.0,69.0
Jesús Navas,35,84,Sevilla FC,RB,85.0,83.0,84.0,79.0,83.0,90.0,84.0,74.0,82.0,39.0,70.0,80.0,81.0,56.0,77.0,79.0,84.0,82.0
F. Valverde,22,83,Real Madrid CF,SUB,66.0,85.0,79.0,84.0,82.0,82.0,90.0,80.0,86.0,79.0,81.0,81.0,76.0,59.0,80.0,76.0,84.0,79.0
R. Guerreiro,27,84,Borussia Dortmund,LB,84.0,88.0,88.0,82.0,87.0,84.0,67.0,79.0,79.0,50.0,80.0,83.0,79.0,44.0,79.0,78.0,84.0,79.0
L. Paredes,27,81,Paris Saint-Germain,SUB,79.0,84.0,79.0,85.0,81.0,67.0,66.0,88.0,79.0,77.0,77.0,75.0,76.0,64.0,78.0,80.0,83.0,79.0
K. Mbappé,22,91,Paris Saint-Germain,ST,78.0,85.0,93.0,71.0,91.0,97.0,97.0,86.0,88.0,77.0,82.0,38.0,92.0,79.0,34.0,32.0,92.0,26.0
G. Lo Celso,25,81,Tottenham Hotspur,SUB,79.0,84.0,83.0,83.0,85.0,76.0,75.0,82.0,76.0,70.0,75.0,70.0,76.0,65.0,75.0,68.0,83.0,64.0
19 D. Srna,36,78,Cagliari,RB,85.0,85.0,72.0,87.0,83.0,69.0,76.0,83.0,68.0,69.0,77.0,80.0,76.0,84.0,76.0,75.0,80.0,
A. Kolarov,35,78,Inter,RES,85.0,78.0,76.0,77.0,76.0,62.0,63.0,95.0,67.0,73.0,86.0,81.0,67.0,80.0,80.0,79.0,78.0,76.0
Fred,28,81,Manchester United,LDM,70.0,82.0,79.0,80.0,80.0,81.0,74.0,77.0,93.0,52.0,68.0,83.0,70.0,64.0,80.0,70.0,81.0,74.0
Carlos Soler,24,81,Valencia CF,RM,77.0,85.0,80.0,82.0,81.0,75.0,80.0,77.0,85.0,70.0,76.0,74.0,78.0,86.0,79.0,68.0,83.0,67.0
19 C. Noboa,33,79,,SUB,74.0,78.0,77.0,80.0,80.0,73.0,73.0,75.0,90.0,71.0,79.0,78.0,72.0,80.0,75.0,75.0,78.0,
Rúben Neves,24,82,Wolverhampton Wanderers,RCM,78.0,88.0,76.0,85.0,82.0,64.0,54.0,86.0,79.0,67.0,84.0,78.0,65.0,76.0,77.0,70.0,83.0,76.0
Anderson Talisca,27,82,Al Nassr,CAM,75.0,84.0,83.0,82.0,84.0,84.0,76.0,84.0,82.0,75.0,87.0,52.0,86.0,75.0,55.0,42.0,84.0,45.0
J. Corona,28,82,FC Porto,RW,79.0,82.0,85.0,71.0,84.0,86.0,81.0,66.0,88.0,39.0,63.0,76.0,79.0,68.0,74.0,72.0,82.0,75.0
Parejo,32,86,Villarreal CF,LCM,86.0,92.0,82.0,90.0,86.0,52.0,49.0,81.0,78.0,70.0,88.0,81.0,82.0,88.0,70.0,69.0,86.0,70.0
C. Tolisso,26,80,FC Bayern München,SUB,65.0,82.0,76.0,84.0,82.0,69.0,64.0,85.0,77.0,76.0,82.0,76.0,79.0,61.0,77.0,72.0,81.0,75.0
A. Witsel,32,83,Borussia Dortmund,CDM,69.0,90.0,78.0,83.0,81.0,60.0,61.0,75.0,76.0,82.0,71.0,83.0,73.0,76.0,80.0,80.0,83.0,82.0
Raúl García,34,80,Athletic Club de Bilbao,RS,80.0,83.0,80.0,82.0,85.0,45.0,37.0,85.0,75.0,86.0,86.0,69.0,85.0,85.0,74.0,63.0,81.0,44.0
Fabinho,27,86,Liverpool,CDM,75.0,84.0,78.0,82.0,81.0,65.0,68.0,81.0,88.0,81.0,70.0,87.0,70.0,90.0,87.0,85.0,86.0,86.0
A. Robertson,27,87,Liverpool,LB,88.0,82.0,81.0,76.0,83.0,83.0,85.0,76.0,95.0,65.0,65.0,83.0,77.0,55.0,84.0,81.0,87.0,83.0
T. Partey,28,83,Arsenal,RDM,74.0,87.0,84.0,85.0,83.0,63.0,74.0,86.0,83.0,84.0,78.0,81.0,70.0,49.0,84.0,80.0,83.0,80.0
L. Robertone,24,76,Unión Deportiva Almería,LCM,69.0,75.0,77.0,73.0,80.0,87.0,84.0,81.0,86.0,60.0,72.0,67.0,69.0,69.0,75.0,76.0,78.0,57.0
L. Provod,24,77,SK Slavia Praha,RES,78.0,76.0,77.0,76.0,77.0,77.0,79.0,84.0,90.0,85.0,75.0,71.0,75.0,69.0,70.0,70.0,79.0,71.0
Renan Lodi,23,81,Atlético de Madrid,SUB,81.0,77.0,81.0,75.0,81.0,85.0,83.0,76.0,84.0,70.0,68.0,77.0,76.0,54.0,78.0,79.0,82.0,76.0
M. Arnold,27,81,VfL Wolfsburg,LDM,69.0,82.0,78.0,83.0,82.0,65.0,65.0,88.0,78.0,73.0,87.0,79.0,76.0,57.0,79.0,74.0,82.0,78.0
17 J. Vargas,31,76,Real Betis Balompié,SUB,86.0,73.0,73.0,77.0,78.0,72.0,76.0,90.0,63.0,75.0,84.0,72.0,66.0,71.0,79.0,77.0,74.0,
I. Bennacer,23,80,AC Milan,RDM,72.0,84.0,84.0,83.0,84.0,80.0,67.0,74.0,79.0,66.0,72.0,75.0,64.0,68.0,76.0,69.0,82.0,74.0
E. Banega,33,82,Al Shabab,CAM,80.0,84.0,83.0,87.0,84.0,63.0,61.0,77.0,74.0,67.0,81.0,79.0,75.0,79.0,77.0,74.0,82.0,79.0
H. Herrera,31,81,Atlético de Madrid,SUB,65.0,81.0,76.0,79.0,78.0,71.0,70.0,81.0,93.0,80.0,78.0,82.0,82.0,67.0,82.0,67.0,81.0,81.0
Marcelo,33,80,Real Madrid CF,SUB,84.0,80.0,89.0,77.0,91.0,74.0,73.0,81.0,67.0,70.0,70.0,79.0,80.0,59.0,77.0,78.0,81.0,71.0
W. McKennie,22,77,Juventus,SUB,65.0,79.0,77.0,75.0,76.0,80.0,81.0,74.0,85.0,81.0,71.0,76.0,78.0,61.0,77.0,77.0,80.0,74.0
T. Lemar,25,83,Atlético de Madrid,LCM,83.0,83.0,88.0,76.0,86.0,84.0,80.0,79.0,76.0,55.0,77.0,66.0,80.0,68.0,59.0,63.0,86.0,55.0
I. Perišić,32,81,Inter,LM,80.0,78.0,78.0,72.0,80.0,82.0,81.0,84.0,75.0,76.0,77.0,69.0,83.0,76.0,58.0,54.0,81.0,64.0
Arthur,24,83,Juventus,RES,79.0,88.0,87.0,85.0,90.0,71.0,67.0,76.0,79.0,66.0,74.0,76.0,74.0,69.0,73.0,71.0,85.0,74.0
17 S. Gerrard,36,81,LA Galaxy,RES,86.0,83.0,74.0,86.0,82.0,55.0,54.0,90.0,68.0,75.0,82.0,69.0,78.0,85.0,67.0,66.0,79.0,
Capa,29,80,Athletic Club de Bilbao,SUB,81.0,80.0,76.0,67.0,77.0,81.0,83.0,83.0,93.0,86.0,67.0,76.0,76.0,54.0,78.0,76.0,80.0,74.0
P. Ševčík,27,77,SK Slavia Praha,RES,74.0,78.0,78.0,75.0,79.0,80.0,80.0,77.0,91.0,70.0,77.0,71.0,70.0,68.0,66.0,69.0,78.0,71.0
Oscar,29,82,Shanghai Port FC,CAM,81.0,85.0,81.0,84.0,83.0,82.0,74.0,80.0,84.0,60.0,82.0,52.0,81.0,70.0,59.0,55.0,82.0,66.0
T. Kroos,31,88,Real Madrid CF,LCM,88.0,93.0,80.0,93.0,88.0,55.0,52.0,89.0,75.0,72.0,86.0,80.0,76.0,73.0,73.0,60.0,88.0,71.0
F. Mendy,26,83,Real Madrid CF,SUB,78.0,80.0,80.0,78.0,78.0,91.0,92.0,69.0,89.0,83.0,64.0,79.0,80.0,49.0,81.0,80.0,84.0,77.0
Alex Sandro,30,83,Juventus,LB,84.0,81.0,79.0,71.0,80.0,78.0,83.0,78.0,83.0,77.0,72.0,76.0,70.0,60.0,80.0,80.0,83.0,76.0
Diogo Jota,24,82,Liverpool,SUB,71.0,75.0,85.0,71.0,85.0,88.0,81.0,84.0,81.0,71.0,75.0,56.0,85.0,63.0,57.0,45.0,84.0,54.0
L. Stindl,32,82,Borussia Mönchengladbach,CAM,74.0,85.0,82.0,79.0,84.0,63.0,59.0,85.0,75.0,72.0,83.0,60.0,85.0,83.0,62.0,55.0,82.0,59.0
M. Pjanić,31,82,Beşiktaş JK,RCM,80.0,84.0,81.0,82.0,83.0,67.0,64.0,78.0,79.0,60.0,80.0,78.0,68.0,79.0,77.0,71.0,82.0,78.0
J. Tavernier,29,77,Rangers FC,RB,79.0,72.0,76.0,71.0,74.0,82.0,84.0,77.0,87.0,78.0,71.0,72.0,72.0,83.0,74.0,73.0,77.0,71.0
O. Zinchenko,24,80,Manchester City,SUB,82.0,82.0,80.0,78.0,82.0,75.0,71.0,77.0,76.0,63.0,71.0,77.0,75.0,59.0,79.0,76.0,80.0,78.0
Pizzi,31,81,SL Benfica,SUB,80.0,82.0,82.0,81.0,84.0,78.0,73.0,76.0,78.0,59.0,77.0,72.0,84.0,78.0,67.0,52.0,81.0,67.0
17 P. Lahm,32,88,FC Bayern München,RB,84.0,86.0,82.0,77.0,86.0,68.0,67.0,57.0,79.0,59.0,65.0,93.0,69.0,69.0,87.0,95.0,85.0,
H. Mkhitaryan,32,83,Roma,LM,77.0,83.0,84.0,71.0,83.0,86.0,85.0,84.0,88.0,69.0,77.0,60.0,84.0,72.0,53.0,55.0,83.0,51.0
M. Rashford,23,85,Manchester United,SUB,80.0,80.0,86.0,71.0,84.0,86.0,93.0,92.0,86.0,75.0,81.0,42.0,83.0,84.0,38.0,33.0,86.0,45.0
L. Martínez,23,85,Inter,LS,56.0,78.0,83.0,73.0,85.0,86.0,83.0,80.0,80.0,84.0,74.0,45.0,86.0,74.0,31.0,44.0,87.0,55.0
H. Son,28,89,Tottenham Hotspur,LW,83.0,84.0,87.0,74.0,84.0,85.0,90.0,88.0,88.0,64.0,89.0,39.0,91.0,73.0,34.0,33.0,89.0,50.0
D. van de Beek,24,81,Manchester United,SUB,67.0,81.0,76.0,78.0,85.0,67.0,69.0,83.0,84.0,74.0,78.0,73.0,80.0,61.0,73.0,68.0,83.0,72.0
T. Koopmeiners,23,79,Atalanta,SUB,76.0,82.0,70.0,83.0,76.0,66.0,64.0,78.0,84.0,75.0,76.0,79.0,68.0,85.0,75.0,75.0,80.0,77.0
J. Milner,35,79,Liverpool,SUB,85.0,82.0,76.0,80.0,81.0,60.0,52.0,82.0,77.0,70.0,70.0,78.0,71.0,89.0,80.0,78.0,80.0,77.0
19 Filipe Luís,32,85,Atlético de Madrid,LB,86.0,80.0,77.0,77.0,83.0,76.0,75.0,71.0,89.0,73.0,60.0,84.0,71.0,65.0,84.0,86.0,83.0,
Sérgio Oliveira,29,80,FC Porto,LCM,81.0,84.0,76.0,82.0,81.0,62.0,55.0,88.0,76.0,66.0,86.0,73.0,79.0,82.0,72.0,60.0,80.0,77.0
A. Golovin,25,79,AS Monaco,LF,80.0,79.0,84.0,74.0,82.0,77.0,84.0,78.0,88.0,57.0,75.0,73.0,75.0,52.0,72.0,66.0,83.0,67.0
Z. Junuzović,33,76,FC Red Bull Salzburg,RES,80.0,78.0,79.0,76.0,80.0,75.0,66.0,78.0,81.0,62.0,76.0,73.0,71.0,70.0,66.0,63.0,76.0,68.0
20 T. Vilhena,24,78,,SUB,76.0,78.0,77.0,77.0,80.0,77.0,73.0,80.0,85.0,75.0,76.0,75.0,70.0,53.0,72.0,68.0,77.0,66.0
M. Hamšík,33,80,Trabzonspor,LCM,78.0,83.0,80.0,82.0,82.0,69.0,67.0,82.0,76.0,75.0,81.0,71.0,81.0,70.0,67.0,62.0,80.0,72.0
J. Ward-Prowse,26,81,Southampton,RCM,89.0,85.0,76.0,84.0,82.0,66.0,54.0,82.0,91.0,64.0,79.0,67.0,65.0,79.0,74.0,65.0,82.0,64.0
C. Aránguiz,32,80,Bayer 04 Leverkusen,RDM,77.0,81.0,74.0,83.0,78.0,68.0,63.0,78.0,80.0,64.0,77.0,83.0,68.0,75.0,74.0,74.0,80.0,80.0
Ander Herrera,31,79,Paris Saint-Germain,RCM,71.0,81.0,78.0,78.0,81.0,68.0,62.0,78.0,81.0,70.0,71.0,82.0,76.0,74.0,81.0,76.0,80.0,79.0
Fernandinho,36,83,Manchester City,SUB,68.0,83.0,76.0,81.0,81.0,67.0,52.0,83.0,66.0,75.0,76.0,85.0,70.0,61.0,85.0,80.0,83.0,87.0
M. Uribe,30,79,FC Porto,RCM,68.0,80.0,76.0,77.0,77.0,75.0,75.0,76.0,93.0,77.0,73.0,79.0,75.0,68.0,76.0,70.0,79.0,76.0
